v2xdl_delib_codehigh,v2xel_regelec,v2elintim,v2cltort_codehigh,v2exthftps_osp_codelow,v2clacjstw_mean,v2exthftps_osp_sd,v2elintim_codehigh,v2exembez_ord_codelow,v2elrgpwr_sd,v2clacjust_osp_codehigh,v2lgfunds_ord_codelow,v2juncind_codelow,v2dlcommon_osp_codehigh,v2elsrgel,v2elfrfair_ord,v2exdjcbhg_mean,v2xcl_rol_codelow,v2x_elecoff,v2psbars_ord_codehigh
NA,0.019,NA,-0.869,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.126,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.757,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.115,0,0
NA,0.019,NA,-0.908,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.119,0,0
NA,0.019,NA,-0.908,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.119,0,0
NA,0.019,NA,-0.908,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.119,0,0
NA,0.019,NA,-0.908,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.119,0,0
NA,0.019,NA,-0.908,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.119,0,0
NA,0.019,NA,-0.908,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.119,0,0
NA,0.019,NA,-0.908,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.119,0,0
NA,0.019,NA,-0.908,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.119,0,0
NA,0.019,NA,-0.908,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.119,0,0
NA,0.019,NA,1.193,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.149,0,0
NA,0.019,NA,0.361,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.14,0,0
NA,0.019,NA,0.361,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.14,0,0
NA,0.019,NA,0.361,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.14,0,3
NA,0.019,NA,0.331,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.171,0,3
NA,0.019,NA,0.331,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.171,0,3
NA,0.019,NA,0.331,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.171,0,3
NA,0.019,NA,-0.353,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.161,0,1
NA,0.019,NA,-0.353,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.161,0,1
NA,0.019,NA,-0.353,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.161,0,1
NA,0.019,NA,-0.353,0.604,2,0.698,NA,0,0.853,0.907,NA,-1.848,NA,0,NA,NA,0.161,0,1
NA,0.015,NA,0.331,0.604,2,0.698,NA,0,0.855,1.011,NA,-1.848,NA,0,NA,NA,0.151,0,3
NA,0.015,NA,0.331,0.423,2.5,0.673,NA,0,0.855,0.932,NA,-1.848,NA,0,NA,NA,0.174,0,3
NA,0.365,NA,0.331,0.423,2.5,0.673,NA,2,0.592,0.932,1,-1.848,NA,0,NA,NA,0.174,0.5,3
NA,0.365,NA,0.331,0.423,2.5,0.673,NA,2,0.592,0.932,1,-1.848,NA,0,NA,NA,0.184,0.5,3
NA,0.453,NA,0.546,0.423,2.5,0.673,NA,2,0.592,1.662,1,-1.848,NA,5,NA,NA,0.162,0.5,3
NA,0.729,NA,0.546,0.423,2.5,0.673,NA,2,0.592,1.662,1,-1.848,NA,5,NA,NA,0.218,0.5,3
NA,0.729,NA,0.546,0.423,2.5,0.673,NA,2,0.592,1.662,1,-1.848,NA,5,NA,NA,0.218,0.5,3
NA,0.729,NA,0.546,0.423,2.5,0.673,NA,2,0.592,1.662,1,-1.848,NA,5,NA,NA,0.218,0.5,3
